text,labels
"interessos: dibuix, manualitats, fotografia, DIY. wishlist títols: idees regal, aniversari. wishlist productes: kit lettering, aquarel·les, càmera instantània, retoladors, quadern de dibuix, caixa sorpresa. tags rellevants: manualitats, art, dibuix, nadal. descripcions productes: material creatiu, eines per dibuixar o fer manualitats",art_creative
"interessos principals: senderisme, muntanya, excursions. descripcions wishlist: material per fer excursions. wishlist productes: bastons de senderisme, botes de muntanya, jaqueta impermeable, espelma. pressupost orientatiu: 20",outdoor_hiking
"hobbies: skincare, autocura. interessos: skincare, autocura. productes: targeta regal, crema mans, clauer, sals de bany, set skincare. tags: autocura, skincare, zara, benestar. notes: productes d'autocura",wellbeing_selfcare
"interessos: excursions, camping. wishlist títols: coses que m'agraden. wishlist productes: motxilla trekking, frontal LED, tenda de campanya. tags rellevants: excursions, senderisme, acampada, camping. descripcions productes: coses per anar de camping, equipament per caminar per muntanya","outdoor_hiking,outdoor_camping"
"interessos principals: estil, roba, moda. descripcions wishlist: idees de roba per renovar armari, peces de roba que m'agraden. wishlist productes: camisa, jersei, pantalons, dessuadora. pressupost orientatiu: 20",fashion_clothing
"hobbies: viatjar, adrenalina. wishlist productes: parc aventura, mapa rascable, adaptador universal, motxilla de viatge, bateig escalada, kayak, pack sorpresa. tags rellevants: escapada, viatge, aventura, activitat, adrenalina, maleta. pressupost orientatiu: 50","outdoor_travel,experiences_adventure"
"gaming, regals, netflix, videojocs, setup gaming, sortir. coses que li agraden: alfombreta XXL, teclat gaming, comandament bluetooth, suport auriculars, ratolí gaming. tags rellevants: perifèrics, accessoris, zara, setup. ",gaming_accessories
"interessos principals: música, festivals, concerts, música en directe, àudio. hobbies: música, festivals, concerts, música en directe, àudio. interessos: música, festivals, concerts, música en directe, àudio. wishlist productes: concert acústic, auriculars bluetooth, micròfon USB, entrada concert, barra de so, altaveu portàtil, abonament festival. tags rellevants: audio, so, concert, festival, bluetooth, casa. descripcions productes: plans de música en directe, accessoris per escoltar música i podcasts. pressupost orientatiu: 20","tech_audio,music_live_events"
"interessos principals: bàsquet, futbol, equip. hobbies: bàsquet, futbol, equip. interessos: bàsquet, futbol, equip. wishlist productes: samarreta del Barça, pilota futbol, entrada partit, bufanda equip. tags rellevants: bàsquet, futbol, equip, partit. descripcions productes: material esportiu d'equip, regals relacionats amb el seu equip. pressupost orientatiu: 15",sports_team
"interessos principals: bàsquet, equip, esport. hobbies: bàsquet, equip, esport. interessos: bàsquet, equip, esport. wishlist productes: pilota futbol, bufanda equip, entrada partit, samarreta del Barça. tags rellevants: bàsquet, futbol. descripcions productes: material esportiu d'equip. pressupost orientatiu: 75",sports_team
"interessos principals: gaming, fandom. hobbies: gaming, fandom. interessos: gaming, fandom. wishlist productes: dessuadora Playstation, samarreta Zelda, tassa videojocs, pòster gaming. tags rellevants: poster, gaming. descripcions productes: roba i decoració gaming. pressupost orientatiu: 40",gaming_merch
"interessos principals: tecnologia, oficina, programació. hobbies: tecnologia, oficina, programació. interessos: tecnologia, oficina, programació. wishlist productes: llum d'escriptori, suport de portàtil, teclat mecànic. tags rellevants: productivitat, setup, oficina, programació, regal. descripcions productes: millorar el setup de treball. pressupost orientatiu: 15",tech_productivity
"interessos principals: marató, trail, córrer. descripcions wishlist: equipament per sortir a córrer. wishlist productes: ronyonera esportiva, mitjons tècnics, armilla running, organitzador. pressupost orientatiu: 25",sports_running
"wishlist productes: DLC videojoc, quadern de dibuix, kit lettering, targeta regal Steam, joc de Nintendo Switch, pack gourmet, targeta regal, bossa petita. descripcions wishlist: novetats per consola i PC, material creatiu, m agrada pero no es imprescindible, productes gourmet, opcio flexible dins del pressupost. interessos principals: restaurants, videojocs, plans. pressupost orientatiu: 15","gaming_games,art_creative,cooking_gourmet"
"hobbies: trekking, senderisme, excursions, muntanya. interessos: trekking, senderisme, excursions, muntanya. productes: botes de muntanya, jaqueta impermeable, bastons de senderisme, motxilla trekking, mitjons, detall personalitzat. tags: senderisme, muntanya, excursions, trekking, sorpresa. notes: material per fer excursions",outdoor_hiking
"interessos principals: sneakers, moda. hobbies: sneakers, moda. interessos: sneakers, moda. wishlist productes: sabatilles Nike, neteja sabatilles, sneakers Adidas, sabates casual. tags rellevants: sabates, streetwear, sneakers. descripcions productes: sabatilles i calçat, idees de sneakers. pressupost orientatiu: 75",fashion_sneakers
"interessos principals: outdoor, viatjar, adrenalina, road trips, aventura. hobbies: outdoor, viatjar, adrenalina, road trips, aventura. interessos: outdoor, viatjar, adrenalina, road trips, aventura. wishlist productes: kayak, organitzador de maleta, bateig escalada, motxilla de viatge, adaptador universal, pack sorpresa. tags rellevants: escapada, viatge, activitat. descripcions productes: experiències d'aventura, plans actius i diferents, accessoris útils per viatjar. pressupost orientatiu: 100","outdoor_travel,experiences_adventure"
"interessos: retro gaming, Nintendo, videojocs, col·leccionisme. wishlist títols: idees regal. wishlist productes: mini consola retro, artbook videojoc, edició col·leccionista, amiibo. tags rellevants: nintendo, retro, figura. descripcions productes: figures i edicions especials",gaming_collectibles
"hobbies: cinema, cultura, teatre, museus, exposicions. wishlist productes: exposició immersiva, sessió de cinema, entrada museu, entrada teatre, tassa amistat. tags rellevants: cinema, museu, cultura, teatre. pressupost orientatiu: 15",experiences_cultural
