text,label,source_type,language
"wishlist: oli essencial, manta suau, diari de gratitud",benestar,wishlist_items,ca
sol fer plans a l'aire lliure i escapades de cap de setmana,outdoor,phrase,ca
le gusta cocinar y probar recetas nuevas,cuina,spanish_support,es
pot valorar un regal en forma d'experiencia o pla especial,experiencies,phrase,ca
"interessos: entrenament, pilates. wishlist: rellotge esportiu, guants de fitness. li agrada fer esport i mantenir-se actiu",esport,mixed,ca
concerts,musica,tag,ca
electronica,tecnologia,tag,ca
"li agrada: fitness, gimnas, esports",esport,tags_group,ca
"interessos: piano, instruments. wishlist: entrades concert, targeta regal musica. sol valorar regals relacionats amb so i musica",musica,mixed,ca
ioga,esport,tag,ca
"wishlist: figura decorativa gaming, auriculars gaming, joc de taula geek",gaming,wishlist_items,ca
"interessos: aromaterapia, meditacio. wishlist: oli essencial, set skincare. sol valorar productes per cuidar-se i desconnectar",benestar,mixed,ca
"interessos: accessoris, cosmetica. wishlist: ulleres de sol, samarreta. li fan il·lusio els regals relacionats amb estil i moda",moda,mixed,ca
"videojuegos, consolas, gaming",gaming,spanish_support,es
"gaudeix amb llibres, manga i histories il·lustrades",llibres,phrase,ca
li fan il·lusio els productes relacionats amb videojocs,gaming,phrase,ca
"interessos: literatura, fantasia. wishlist: llibre de misteri, comic. te interes en novel·les de fantasia i ciencia ficcio",llibres,mixed,ca
"interessos: benestar, aromaterapia. wishlist: set skincare, espelma aromatica. busca objectes que ajudin a relaxar-se i millorar el descans",benestar,mixed,ca
"interessos: novel·les, ciencia ficcio. wishlist: marcapagines, quadern de lectura. gaudeix amb llibres, manga i histories il·lustrades",llibres,mixed,ca
sol demanar productes relacionats amb tecnologia i electrònica,tecnologia,phrase,ca
pc gaming,gaming,tag,ca
"wishlist: tassa termica, motlles de rebosteria, cafetera",cuina,wishlist_items,ca
"interessos: excursions, trekking, rutes",outdoor,tags_group,ca
"wishlist: hub usb-c, carregador wireless, power bank",tecnologia,wishlist_items,ca
"wishlist: dessuadora, ulleres de sol, polsera",moda,wishlist_items,ca
oci,experiencies,tag,ca
