text,label
"wishlist: oli essencial, manta suau, diari de gratitud",benestar
sol fer plans a l'aire lliure i escapades de cap de setmana,outdoor
le gusta cocinar y probar recetas nuevas,cuina
pot valorar un regal en forma d'experiencia o pla especial,experiencies
"interessos: entrenament, pilates. wishlist: rellotge esportiu, guants de fitness. li agrada fer esport i mantenir-se actiu",esport
concerts,musica
electronica,tecnologia
"li agrada: fitness, gimnas, esports",esport
"interessos: piano, instruments. wishlist: entrades concert, targeta regal musica. sol valorar regals relacionats amb so i musica",musica
ioga,esport
"wishlist: figura decorativa gaming, auriculars gaming, joc de taula geek",gaming
"interessos: aromaterapia, meditacio. wishlist: oli essencial, set skincare. sol valorar productes per cuidar-se i desconnectar",benestar
"interessos: accessoris, cosmetica. wishlist: ulleres de sol, samarreta. li fan il·lusio els regals relacionats amb estil i moda",moda
"videojuegos, consolas, gaming",gaming
"gaudeix amb llibres, manga i histories il·lustrades",llibres
li fan il·lusio els productes relacionats amb videojocs,gaming
"interessos: literatura, fantasia. wishlist: llibre de misteri, comic. te interes en novel·les de fantasia i ciencia ficcio",llibres
"interessos: benestar, aromaterapia. wishlist: set skincare, espelma aromatica. busca objectes que ajudin a relaxar-se i millorar el descans",benestar
"interessos: novel·les, ciencia ficcio. wishlist: marcapagines, quadern de lectura. gaudeix amb llibres, manga i histories il·lustrades",llibres
sol demanar productes relacionats amb tecnologia i electrònica,tecnologia
pc gaming,gaming
"wishlist: tassa termica, motlles de rebosteria, cafetera",cuina
"interessos: excursions, trekking, rutes",outdoor
"wishlist: hub usb-c, carregador wireless, power bank",tecnologia
"wishlist: dessuadora, ulleres de sol, polsera",moda
oci,experiencies
ciclisme,esport
li fan il·lusio els regals relacionats amb estil i moda,moda
llibres,llibres
playstation,gaming
guitarra,musica
prefereix viure experiencies abans que acumular objectes,experiencies
"interessos: xbox, pc gaming. wishlist: joc de taula geek, cadira gaming. busca millorar el seu espai de joc amb accessoris gaming",gaming
